iterations,costs
362,28088.80234514691
363,28088.80234514691
364,28063.144779235045
365,28063.144779235045
366,28037.727836244525
367,28036.224593521056
368,28036.224593521056
369,28031.87163791461
370,28026.252540673468
371,28026.252540673468
372,27995.457036760996
373,27981.080132880492
374,27947.622604712662
375,27947.622604712662
376,27934.024676582525
377,27934.024676582525
378,27934.024676582525
379,27932.17762854162
380,27917.973033898703
381,27917.973033898703
382,27917.973033898703
383,27917.973033898703
384,27917.973033898703
385,27916.643871347478
386,27903.87657198999
387,27903.87657198999
388,27903.87657198999
389,27903.514212612685
390,27893.647824809967
391,27886.97317152511
392,27857.686330943496
393,27857.686330943496
394,27856.49130561006
395,27856.49130561006
396,27856.49130561006
397,27856.49130561006
398,27856.49130561006
399,27852.119751808706
400,27845.672468562872
401,27833.84441594609
402,27824.20712773293
403,27823.243622434773
404,27801.74002431213
405,27788.12735262863
406,27788.12735262863
407,27788.12735262863
408,27779.95280878411
409,27777.548017587415
410,27774.814036913354
411,27774.814036913354
412,27774.814036913354
413,27774.814036913354
414,27774.814036913354
415,27774.814036913354
416,27774.814036913354
417,27774.814036913354
418,27773.019924363656
419,27773.019924363656
420,27769.836582230684
421,27769.836582230684
422,27764.230604348337
423,27764.230604348337
424,27764.230604348337
425,27764.230604348337
426,27764.230604348337
427,27764.230604348337
428,27759.865105626104
429,27754.822376208915
430,27754.822376208915
431,27751.1838957744
432,27740.303758828417
